day,new features,edits
2015-06-14 00:00:00+05:45,0,11
2013-05-13 00:00:00+05:45,2052,1200
2014-06-12 00:00:00+05:45,98,68
2012-11-19 00:00:00+05:45,1304,1295
2008-02-08 00:00:00+05:45,53,0
2013-02-23 00:00:00+05:45,36560,2367
2013-03-09 00:00:00+05:45,5527,182
2012-07-23 00:00:00+05:45,6077,217
2010-01-09 00:00:00+05:45,0,21
2014-04-04 00:00:00+05:45,1813,429
2012-07-25 00:00:00+05:45,189,203
2011-04-18 00:00:00+05:45,781,79
2014-12-22 00:00:00+05:45,98,34
2012-06-08 00:00:00+05:45,1,377
2009-11-20 00:00:00+05:45,577,30
2009-09-29 00:00:00+05:45,0,1
2016-07-18 00:00:00+05:45,0,5
2014-08-19 00:00:00+05:45,1719,194
2016-01-03 00:00:00+05:45,0,4
2012-10-01 00:00:00+05:45,1181,358
2012-05-29 00:00:00+05:45,86,10
2012-12-19 00:00:00+05:45,5259,527
2011-07-02 00:00:00+05:45,46,137
2014-05-22 00:00:00+05:45,75,686
2010-05-17 00:00:00+05:45,260,45
2016-08-19 00:00:00+05:45,0,3
2010-01-05 00:00:00+05:45,879,5
2010-11-17 00:00:00+05:45,161,115
2010-07-30 00:00:00+05:45,0,2
2007-11-29 00:00:00+05:45,1,1
2012-10-08 00:00:00+05:45,563,1239
2014-09-25 00:00:00+05:45,3982,214
2016-09-30 00:00:00+05:45,0,1
2015-11-14 00:00:00+05:45,0,8
2011-06-01 00:00:00+05:45,0,1
2013-05-31 00:00:00+05:45,1879,445
2010-11-19 00:00:00+05:45,34,17
2014-09-28 00:00:00+05:45,4637,91
2013-10-16 00:00:00+05:45,655,210
2016-02-08 00:00:00+05:45,0,2
2012-06-01 00:00:00+05:45,469,26
2015-05-16 00:00:00+05:45,0,115
2012-10-23 00:00:00+05:45,404,140
2015-02-10 00:00:00+05:45,0,4
2013-10-29 00:00:00+05:45,3243,196
2016-05-28 00:00:00+05:45,0,11
2016-04-14 00:00:00+05:45,0,1
2008-06-10 00:00:00+05:45,0,12
2014-12-06 00:00:00+05:45,2107,517
2014-02-01 00:00:00+05:45,982,25
2013-06-16 00:00:00+05:45,37,4
2013-03-12 00:00:00+05:45,21437,856
2011-12-09 00:00:00+05:45,560,45
2012-10-25 00:00:00+05:45,715,63
2011-05-04 00:00:00+05:45,0,1
2013-01-26 00:00:00+05:45,390,88
2011-11-13 00:00:00+05:45,575,57
2015-02-21 00:00:00+05:45,0,33
2009-04-28 00:00:00+05:45,0,1
2013-02-10 00:00:00+05:45,3758,756
2014-05-13 00:00:00+05:45,99,159
